year,eligibility_reason,stock_days
2010,ADV_FAIL,96974
2010,EARN_WINDOW,2066
2010,MCAP_FAIL,46003
2010,OK,154218
2010,PRICE_FAIL,5995
2010,VOL_FAIL,307
2011,ADV_FAIL,84995
2011,EARN_WINDOW,3629
2011,MCAP_FAIL,52286
2011,OK,165277
2011,PRICE_FAIL,5303
2011,VOL_FAIL,355
2012,ADV_FAIL,82506
2012,EARN_WINDOW,3364
2012,MCAP_FAIL,59329
2012,OK,165866
2012,PRICE_FAIL,4103
2012,VOL_FAIL,661
2013,ADV_FAIL,67903
2013,EARN_WINDOW,3339
2013,MCAP_FAIL,69941
2013,OK,184151
2013,PRICE_FAIL,2766
2013,VOL_FAIL,392
2014,ADV_FAIL,47834
2014,EARN_WINDOW,4672
2014,MCAP_FAIL,82144
2014,OK,204266
2014,PRICE_FAIL,1369
2014,VOL_FAIL,915
2015,ADV_FAIL,38791
2015,EARN_WINDOW,7901
2015,MCAP_FAIL,93048
2015,OK,211190
2015,PRICE_FAIL,1350
2015,VOL_FAIL,326
2016,ADV_FAIL,30514
2016,EARN_WINDOW,8417
2016,MCAP_FAIL,101424
2016,OK,218103
2016,PRICE_FAIL,1115
2016,VOL_FAIL,905
2017,ADV_FAIL,23282
2017,EARN_WINDOW,8837
2017,MCAP_FAIL,110866
2017,OK,223058
2017,PRICE_FAIL,977
2017,VOL_FAIL,1372
2018,ADV_FAIL,12302
2018,EARN_WINDOW,9592
2018,MCAP_FAIL,119731
2018,OK,234750
2018,PRICE_FAIL,344
2018,VOL_FAIL,537
2019,ADV_FAIL,10527
2019,EARN_WINDOW,9887
2019,MCAP_FAIL,127586
2019,OK,236744
2019,PRICE_FAIL,915
2019,VOL_FAIL,468
2020,ADV_FAIL,9139
2020,EARN_WINDOW,9976
2020,MCAP_FAIL,134223
2020,OK,226493
2020,PRICE_FAIL,1386
2020,VOL_FAIL,12078
2021,ADV_FAIL,2723
2021,EARN_WINDOW,10799
2021,MCAP_FAIL,143615
2021,OK,243163
2021,PRICE_FAIL,48
2021,VOL_FAIL,811
2022,ADV_FAIL,2717
2022,EARN_WINDOW,11076
2022,MCAP_FAIL,148362
2022,OK,242388
2022,PRICE_FAIL,13
2022,VOL_FAIL,1332
2023,ADV_FAIL,2026
2023,EARN_WINDOW,11465
2023,MCAP_FAIL,151095
2023,OK,241675
2023,PRICE_FAIL,623
2023,VOL_FAIL,693
2024,ADV_FAIL,1034
2024,DATA_FAIL,1000
2024,EARN_WINDOW,11905
2024,MCAP_FAIL,156668
2024,OK,242803
2024,VOL_FAIL,1306
