year,mean_ic,days,median_n,ic_tstat
2010,-0.03483020437657628,252,608.5,-2.607694023512775
2011,0.06222093466901521,252,663.0,3.695186472922834
2012,0.04673803526148536,250,672.0,4.092546070391773
2013,0.07220218303285028,252,738.0,9.683755093748815
2014,0.042272319753262136,252,816.0,4.71119006458929
2015,0.03378486949422417,252,853.5,3.93190308970295
2016,0.046007233212398246,252,878.0,4.940062359283092
2017,0.031339328090615945,251,911.0,3.7505210874812924
2018,0.020311181024972234,251,958.0,1.8622828457539395
2019,0.032270639620334426,252,962.0,2.969377591812303
2020,0.01829914044520242,253,947.0,1.4474956840681301
2021,-0.010716640878976119,252,993.0,-0.9370353916962084
2022,0.03967990907991929,251,994.0,3.1958239811338673
2023,0.026990816104150564,250,998.0,2.315848677984463
2024,0.007628744960772721,251,997.0,0.767550509477533
