experiment_id,experiment_group,experiment_name,training_window,alpha_learning_method,weighting_scheme,ranking_scheme,short_treatment,notes,validation_2019_2022_250m_net_sharpe,validation_2019_2022_250m_max_drawdown,validation_2019_2022_250m_worst_12m_return,internal_holdout_2023_2024_250m_net_sharpe,internal_holdout_2023_2024_250m_max_drawdown,internal_holdout_2023_2024_250m_worst_12m_return,full_2010_2024_250m_net_sharpe,full_2010_2024_250m_max_drawdown,full_2010_2024_250m_worst_12m_return,full_50m_net_sharpe,full_250m_net_sharpe,full_250m_average_gross_exposure_used,full_250m_average_turnover,full_250m_commission_drag,full_250m_slippage_drag,full_250m_borrow_drag,full_250m_IC_mean,full_250m_IC_tstat,full_1b_net_sharpe,passes_phase2_replacement_rule
phase2_g5_05_expanding,G5_training_window,expanding window,expanding,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,2.2789929863440945,-0.0546560606039892,0.06508360341855002,0.620162693886224,-0.07643202170283125,-0.07547912353323549,1.445317767744716,-0.10186483004750502,-0.10090323942890167,1.3081173675648727,1.445317767744716,0.7497130764223722,1.4994261528447443,0.37769924403848565,1.1365770579140728,0.15228467773745957,0.028939809601632026,9.93408990179203,1.2930306226032406,True
phase2_g2_06_score_div_vol_liquidity_floor,G2_weighting_scheme,score divided by volatility with liquidity floor,4y_rolling,prior50_learned50,score_divided_by_volatility_liquidity_floor,raw_alpha_score,tiered_borrow_cost_only,Low-ADV selected names receive lower sizing preference; 5% ADV20 cap is unchanged.,1.7548759693402638,-0.07147461491858476,-0.021443267464450355,0.8180359727061419,-0.061108125148956915,-0.011862527681235191,1.2756860977631985,-0.08802542735562457,-0.08599739525739192,1.5790974909369504,1.2756860977631985,0.7042679021269257,1.4085358042538514,0.33012555435489244,0.9930854992892362,0.15774072544782136,0.02816802648069744,9.46459597093671,0.5134220194412945,True
phase2_g2_04_score_divided_by_volatility,G2_weighting_scheme,score divided by volatility,4y_rolling,prior50_learned50,score_divided_by_volatility,raw_alpha_score,tiered_borrow_cost_only,,1.7108668267893545,-0.07003731720882334,-0.024217617136002567,0.7605092659635785,-0.062413792626414444,-0.008894021299519994,1.241436215126753,-0.08741433812903598,-0.08613907619035033,1.5435406628431423,1.241436215126753,0.7042679021269257,1.4085358042538514,0.33340954352994867,1.0029454892495293,0.15938402302845933,0.02816802648069744,9.46459597093671,0.4987657969360352,True
phase2_g6_06_elastic_net_ranked_features,G6_transparent_alpha_learning,elastic net on ranked features,4y_rolling,elastic_net_ranked_features,equal_weight,raw_alpha_score,tiered_borrow_cost_only,Uses scikit-learn already present in the recorded local environment.,1.5716772569012234,-0.1189135530168397,-0.067731629116346,0.9001351383728912,-0.07339422211292757,-0.07160510451506752,1.2575656582229895,-0.11891355301683981,-0.10090323942890167,1.5645328740641313,1.2575656582229895,0.7412511666391495,1.482502333278299,0.37330642067891695,1.1224923381423775,0.14030050287719575,0.03017813882121971,11.401846138640078,0.9442226698284926,True
phase2_g2_03_score_weighted,G2_weighting_scheme,score-weighted,4y_rolling,prior50_learned50,score_weighted,raw_alpha_score,tiered_borrow_cost_only,,1.534315353475844,-0.07653302942213691,-0.03648342963144158,0.37274994103701525,-0.07923360999375262,-0.03507185061462714,1.0884351460987414,-0.08753554638863914,-0.08555639219686695,1.2078401922460682,1.0884351460987414,0.7042679021269256,1.4085358042538512,0.3310124163172272,0.9953770874897585,0.15830566348790787,0.02816802648069744,9.46459597093671,0.4494364948535288,True
phase2_g6_05_ridge_ranked_features,G6_transparent_alpha_learning,ridge regression on ranked features,4y_rolling,ridge_ranked_features,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,1.5231406844754614,-0.12725394589655414,-0.06520929629944072,1.026966873245575,-0.062420016960474944,-0.05519695645119804,1.2391912978318282,-0.1272539458965537,-0.10090323942890167,1.6789085662335488,1.2391912978318282,0.7346126866739263,1.4692253733478526,0.3653801525148368,1.0985967817456246,0.13975598341420037,0.029439982836293316,11.212771025929246,0.9533501126277801,True
phase2_g2_05_score_times_liquidity,G2_weighting_scheme,score times liquidity,4y_rolling,prior50_learned50,score_times_liquidity,raw_alpha_score,tiered_borrow_cost_only,,1.4991415501948415,-0.08243482154126447,-0.015881847709791952,0.19464329150104823,-0.09933773537153645,-0.0557259051084541,1.0657213515436608,-0.0993377353715379,-0.084996458592133,1.2280072878523087,1.0657213515436608,0.7042679021269256,1.4085358042538512,0.3120261229504724,0.9379977433624977,0.1487053548381294,0.02816802648069744,9.46459597093671,0.45628835467350165,True
phase2_g2_07_score_weighted_single_name_cap,G2_weighting_scheme,score-weighted with max single-name cap,4y_rolling,prior50_learned50,score_weighted_single_name_cap,raw_alpha_score,tiered_borrow_cost_only,Adds a 10% per-side sizing cap; participation cap is unchanged.,1.495513166672234,-0.08539913847099079,-0.058445556360185225,0.3119928635507797,-0.08405092619199472,-0.0396674045549843,1.0405478861630133,-0.0853991384709899,-0.058445556360185225,1.2055059841542144,1.0405478861630133,0.6540258086712263,1.3080516173424526,0.35126840094020784,1.0564651946113988,0.16923699614582777,0.02816802648069744,9.46459597093671,0.8553497196489703,True
phase2_g2_02_volatility_weighted,G2_weighting_scheme,volatility-weighted,4y_rolling,prior50_learned50,volatility_weighted,raw_alpha_score,tiered_borrow_cost_only,,1.4290586279642397,-0.08233723515048297,-0.05662745939351499,0.4726213721954222,-0.06882921679394804,-0.04325402911457654,1.055630481594213,-0.10209405753702239,-0.10082599220491806,1.372854526318096,1.055630481594213,0.7042679021269257,1.4085358042538514,0.3607563871718149,1.0853204787665267,0.17030241238571597,0.02816802648069744,9.46459597093671,0.36359693116802866,True
phase2_g6_04_learned100,G6_transparent_alpha_learning,0% prior / 100% learned,4y_rolling,learned100,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,1.2999374014928482,-0.08358291302694054,-0.05978250026363785,0.3014907823601414,-0.07349416185593138,-0.0515013150507041,0.9921549122763395,-0.10186483004750502,-0.10090323942890167,0.9650956291777854,0.9921549122763395,0.7281495299710369,1.4562990599420738,0.36194241231213287,1.088399127076681,0.15658181791875958,0.027364944377504443,9.115683865854272,0.4721439848094212,True
