year,universe_count,ref_date,median_year_start_mcap,mid_year_exits
2010,986,2009-12-31,2457842032.9750004,0
2011,986,2010-12-31,3250244622.81,0
2012,988,2011-12-30,3247619990.9115496,0
2013,988,2012-12-31,3860826078.7749996,0
2014,987,2013-12-31,5421074268.25,0
2015,986,2014-12-31,6065725971.17,0
2016,987,2015-12-31,6059589836.775,0
2017,988,2016-12-30,7065928357.005199,0
2018,988,2017-12-29,8728865539.197102,0
2019,988,2018-12-31,7474182491.445,0
2020,989,2019-12-31,9622857812.130001,0
2021,990,2020-12-31,11618986449.275002,0
2022,988,2021-12-31,14160494500.36,0
2023,988,2022-12-30,11498136544.079998,0
2024,989,2023-12-29,13055109077.09,0
